dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId
2020/03/14,10,NA,2020,9,0,Maryland,US
2020/03/13,9,NA,2020,5,0,Maryland,US
2020/03/12,8,NA,2020,0,0,Maryland,US
2020/03/11,7,NA,2020,4,0,Maryland,US
2020/03/10,6,NA,2020,3,0,Maryland,US
2020/03/09,5,NA,2020,1,0,Maryland,US
2020/03/08,4,NA,2020,2,0,Maryland,US
2020/03/07,3,NA,2020,0,0,Maryland,US
2020/03/06,2,NA,2020,0,0,Maryland,US
2020/03/05,1,NA,2020,0,0,Maryland,US
2020/03/27,18,NA,2020,779,93,Michigan,US
2020/03/26,17,NA,2020,584,63,Michigan,US
2020/03/25,16,NA,2020,503,43,Michigan,US
2020/03/24,15,NA,2020,467,24,Michigan,US
2020/03/23,14,NA,2020,291,16,Michigan,US
2020/03/22,13,NA,2020,246,9,Michigan,US
2020/03/21,12,NA,2020,239,6,Michigan,US
2020/03/20,11,NA,2020,214,4,Michigan,US
2020/03/19,10,NA,2020,254,3,Michigan,US
2020/03/18,9,NA,2020,15,1,Michigan,US
2020/03/17,8,NA,2020,11,0,Michigan,US
2020/03/16,7,NA,2020,1,0,Michigan,US
2020/03/15,6,NA,2020,20,0,Michigan,US
2020/03/14,5,NA,2020,8,0,Michigan,US
2020/03/13,4,NA,2020,13,0,Michigan,US
2020/03/12,3,NA,2020,10,0,Michigan,US
2020/03/11,2,NA,2020,0,0,Michigan,US
2020/03/10,1,NA,2020,0,0,Michigan,US
2020/03/27,27,NA,2020,5648,535,New York,US
2020/03/26,26,NA,2020,5921,432,New York,US
2020/03/25,25,NA,2020,7401,325,New York,US
2020/03/24,24,NA,2020,4790,218,New York,US
2020/03/23,23,NA,2020,5707,159,New York,US
2020/03/22,22,NA,2020,4812,122,New York,US
2020/03/21,21,NA,2020,3254,80,New York,US
2020/03/20,20,NA,2020,2950,57,New York,US
2020/03/19,19,NA,2020,1770,30,New York,US
2020/03/18,18,NA,2020,1008,27,New York,US
2020/03/17,17,NA,2020,424,17,New York,US
2020/03/16,16,NA,2020,218,10,New York,US
2020/03/15,15,NA,2020,122,6,New York,US
2020/03/14,14,NA,2020,189,2,New York,US
2020/03/13,13,NA,2020,95,0,New York,US
2020/03/12,12,NA,2020,109,0,New York,US
2020/03/11,11,NA,2020,44,0,New York,US
2020/03/10,10,NA,2020,31,0,New York,US
2020/03/09,9,NA,2020,36,0,New York,US
2020/03/08,8,NA,2020,17,0,New York,US
2020/03/07,7,NA,2020,45,0,New York,US
2020/03/06,6,NA,2020,22,0,New York,US
2020/03/05,5,NA,2020,11,0,New York,US
2020/03/04,4,NA,2020,9,0,New York,US
2020/03/03,3,NA,2020,1,0,New York,US
2020/03/02,2,NA,2020,0,0,New York,US
2020/03/01,1,NA,2020,0,0,New York,US
2020/03/27,29,NA,2020,98,12,Oregon,US
2020/03/26,28,NA,2020,50,11,Oregon,US
2020/03/25,27,NA,2020,57,10,Oregon,US
2020/03/24,26,NA,2020,18,8,Oregon,US
2020/03/23,25,NA,2020,30,5,Oregon,US
2020/03/22,24,NA,2020,24,5,Oregon,US
2020/03/21,23,NA,2020,23,4,Oregon,US
2020/03/20,22,NA,2020,27,3,Oregon,US
2020/03/19,21,NA,2020,13,3,Oregon,US
2020/03/18,20,NA,2020,8,3,Oregon,US
2020/03/17,19,NA,2020,20,2,Oregon,US
2020/03/16,18,NA,2020,7,1,Oregon,US
2020/03/15,17,NA,2020,3,1,Oregon,US
2020/03/14,16,NA,2020,6,1,Oregon,US
2020/03/13,15,NA,2020,0,0,Oregon,US
2020/03/12,14,NA,2020,10,0,Oregon,US
2020/03/11,13,NA,2020,6,0,Oregon,US
2020/03/10,12,NA,2020,1,0,Oregon,US
